case_id,model_guess_at_cause,model_confidence_0_to_1,model_flagged_sentences
WPR20CA113,Loss of directional/lateral control during landing after an unexpected left crosswind gust caused a wingtip strike and gear collapse.,0.7,The pilot applied left aileron control and full power but was unable to maintain control of the airplane.
CEN23LA214,"Loss of engine power due to fuel exhaustion/mismanagement (very low fuel found, engine restarted once fuel added) during a long instructional flight.",0.75,
CEN21FA220,"Controlled flight into a radio tower's guy wires, likely because the pilot was distracted (recording/posting a Snapchat video) and off the intended pipeline track.",0.8,
ERA22LA340,"In-flight separation of a tail rotor blade due to corrosion/adhesive bond failure, compounded by undocumented/improper maintenance of the blades, causing loss of tail rotor authority.",0.8,Review of the available maintenance records for the helicopter revealed that the serial numbers of the tail rotor blades installed did not match that noted in the maintenance records. The available records also did not document any replacement of the tail rotor blades.
CEN20LA239,"Loss of engine power (possibly cylinder compression/ignition issue) during a low turn back to the runway, resulting in collision with power lines.",0.45,
WPR23LA025,"Loss of control by an inexperienced/unfamiliar pilot in a weight-shift aircraft, possibly aggravated by pilot incapacitation from severe underlying heart disease.",0.4,"After the previous owner had suggested not to fly the aircraft without first receiving introductory lessons, the accident pilot expressed confidence, and stated he was familiar with flying hang gliders."
CEN24LA014,Right brake overheated and caught fire (and/or failed) during taxi because the brake linings were worn beyond the serviceable limit and not properly addressed at the last inspection.,0.85,An examination of the left brake assembly revealed a darkened temperature indicator sticker that indicated the left brake assembly had previously exceeded the manufacturer's temperature limitation.
ERA23FA239,Sudden loss of engine power at low altitude over trees leading to an unrecoverable descending turn; underlying mechanical cause not established.,0.35,
CEN23FA201,Loss of control/controlled flight into water while the pilot was emotionally distressed and impaired by alcohol during a low-level fish-spotting flight.,0.75,"During the radio communications, the pilot stated several swear words and inappropriate language, which was extremely abnormal for the pilot and in violation of company policy."
CEN22LA198,"Failure to abort the takeoff after an elevator strike on a soft-field departure resulted in inability to become airborne before the runway end, ending in a canal.",0.6,The pilot did not hear or feel the impact of the elevator with the ground and continued the takeoff. The pilot was unable to get the airplane airborne and it impacted and became partially submersed in a saltwater canal at the departure end of the runway.
ERA21LA275,Improper throttle/collective coordination during a practice autorotation recovery led to a partial loss of engine power and a hard landing/rollover.,0.6,The deceleration was begun too high and a little too aggressive.
WPR23LA112,In-flight structural failure (left wing separation) after the pilot attempted an aerobatic barrel roll in a non-aerobatic-rated aircraft and performed an aggressive/too-slow recovery.,0.85,"He stated that the pilot appeared to pull out of the roll too slowly, while in a nose-down attitude, and that the pilot attempted an aggressive recovery. The owner stated that the airplane was not aerobatic capable."
CEN21LA048,Fuel starvation/mismanagement (worn fuel selector detents and inaccurate fuel gauges the pilot admitted not using) led to a loss of engine power and forced landing.,0.65,"When the pilot was asked about his use of the fuel quantity gauges to verify fuel level, he stated he does not look at them because they are only accurate when empty."
ERA20CA117,"Account too thin to determine an aviation cause; appears to be a ground medical event/injury near the propeller before flight, not an inflight accident.",0.2,
ANC20LA043,"Total loss of engine power (likely fuel-related, though undetermined) during approach to a frozen lake, resulting in a forced landing into trees/powerlines.",0.5,
ERA22LA434,"Nose landing gear failed to fully extend/lock because the manual gear extension crank was not properly stowed, interfering with normal gear operation, leading to a gear collapse on landing.",0.65,"The manual landing gear extension crank in the cockpit was found in an intermediate position, neither fully stowed nor extended."
ERA20CA189,A tailwind gust caused the airplane to land long and run off the runway end into vegetation.,0.6,
CEN21LA416,"Hard/side-loaded landing on a conventional-gear conversion overstressed and fractured the main landing gear attachment bolt, causing a ground loop.",0.55,
WPR20LA121,"Loss of engine power at altitude (fuel/mixture or density-altitude related) forced an off-airport landing in mountainous terrain, substantially damaging the airplane.",0.45,
WPR23LA017,Total loss of engine power from fuel starvation caused by an improperly secured (finger-tight) fuel line B-nut left loose after a post-overhaul engine reinstallation.,0.85,It was determined that the fuel line B-nut (figure 2) was not secured and was able to be turned ½ revolution to “finger tight.”
CEN21LA070,In-flight incapacitation of the flight instructor from carbon monoxide poisoning (cracked exhaust/heat shroud) leading to loss of control and impact with terrain.,0.7,
WPR23FA351,"In-flight wing separation from an overload failure of a previously and improperly repaired (spliced/sleeved) wing spar, flown by an unlicensed pilot who was impaired by drugs/alcohol.",0.75,"According to the kit manufacturer, they require customers to purchase replacement parts and would not approve a sleeve as a repair on any structure."
ERA23LA198,"An unstabilized, excessively low final approach resulted in collision with powerlines the pilot could not see from the cockpit at that altitude/attitude.",0.7,The pilot reported “it was physically not possible for me to see the powerlines from my seat in the aircraft at the altitude and attitude I was flying” and that he did not make any attempt to avoid the lines.
