case_id,ntsb_occurrence,ntsb_finding_codes,ntsb_probable_cause,model_occurrence,model_top3,model_finding_codes,model_probable_cause,model_confidence,model_abstained,occurrence_correct,top3_correct,category,tool_that_would_fix_it,model_cost_usd
"WPR24LA029","550000","['0106203721' '0206300044' '0105710000']","A hard landing after both burner pilot lights extinguished during the landing approach for undetermined reasons. Contributing to the accident was the pilot's inability to relight the burner pilot lights.","Loss of altitude/ Hard landing","Hard landing|Loss of control on ground/water|Powerplant failure/malfunction","Aircraft-Powerplant-Fuel system-Ignition system-Malfunction|Personnel issues-Task performance-Emergency/abnormal procedure-Pilot|Environmental issues-Wind-Wind shift|Aircraft-Powerplant-Burner ignition-Failure","The failure of both burner pilot lights to ignite during a low-altitude descent for landing, for reasons that could not be determined during postaccident testing, which resulted in a hard/uncontrolled landing and a passenger falling from the basket after it struck a parked vehicle and tipped over.","0.55","False","1","1","","","0.010992000000000002"
"CEN23FA204","990337","['0103570008' '0500000000']","An in-flight breakup due to structural overload of the airplane for undetermined reasons.","In-flight structural failure (wing separation)","In-flight structural failure (wing separation)|SCF-NP (System/Component Failure - Non-Powerplant)|LOC-I (Loss of Control - Inflight)","Aircraft-Structure-Wing-Failure|Aircraft-Design-Inadequate structural engineering/analysis|Aircraft-Modification-Unapproved/undocumented engine change increasing weight and power beyond original design basis|Personnel-Pilot-Builder-Lack of engineering qualification|Aircraft-Maintenance-Records-Unavailable/inspection history undetermined","An in-flight separation of both wings due to the inadequate structural design and lack of engineering substantiation of the amateur-built Luce Buttercup, which was constructed from unverified dimensional copies of an original Wittman Buttercup without any formal structural analysis, load calculations, or established design safety margins. The airplane had also been modified from its certificated configuration with a higher-horsepower, heavier engine (Lycoming O-290-D2) and different propeller than those used during initial certification, likely altering the loads imposed on the airframe beyond what the unengineered structure could safely withstand. Contributing to the difficulty of establishing a definitive structural cause was the absence of maintenance/inspection records, lack of accessible inspection ports for internal structural documentation, and lack of original design plans, which precluded confirming the airplane's structural integrity or exact loading at the time of the accident. Witness observations of the left wing separating in flight followed by the right wing during a level-off/climb-out maneuver are consistent with an in-flight overload structural failure of the wing attachment/spar structure.","0.55","False","1","1","","","0.065247"
"ERA23LA325","404192","['0107101024' '0102282101']","A loss of engine power due to fuel exhaustion because of a leaking fuel drain valve.","Loss of engine power (total)","Loss of engine power (total)|Fuel exhaustion|Emergency landing/forced landing","Aircraft-Fuel system-Drain valve-Leak|Aircraft-Fuel system-Fluid-Fuel-Exhaustion|Personnel issues-Task performance-Monitoring-Fuel state-Not attained/maintained|Personnel issues-Inspection-Preflight inspection-Owner/operator-Inadequate detection of leak","A total loss of engine power due to fuel exhaustion resulting from an undetected in-flight fuel leak at the fuel drain valve, which had a history of prior leaking. Contributing to the accident was the pilot's failure to recognize the significance of the excessive fuel uptake at an earlier fuel stop as an indication of an existing fuel leak.","0.75","False","1","1","","","0.041313"
"WPR21LA308","401470","['0204152044' '0106201220' '0303403582']","The pilot’s failure to maintain clearance from mountainous terrain prior to encountering a downdraft, which resulted in a forced landing and collision with terrain. 
","175","Loss of visual reference (weather)|VFR flight into IMC/reduced visibility|Miscellaneous/other","Weather condition - smoke/haze reducing visibility|Pilot decision to continue VFR flight into marginal visibility|Insufficient evidence to determine specific event sequence","The evidence provided is limited to aircraft/pilot identification data and a single METAR (SPECI KRNO 091900Z VRB03KT 3SM FU OVC032 27/01 A3008) showing widespread smoke (FU) reducing surface visibility to 3SM with an overcast layer at 3200 ft, during an enroute VFR phase of flight with no reported injuries. While this suggests the flight may have encountered smoke-degraded visual conditions consistent with wildfire smoke common in the Reno, NV area, there is no narrative, damage description, ATC/radar data, or specific event sequence (e.g., loss of control, terrain/obstacle contact, mechanical malfunction) included that would allow a defensible determination of probable cause. The pilot was highly experienced (CFI/ATP certificates, 1200 total hours, 400 hours in type), and the lack of injury suggests either a non-event, a precautionary landing, or a minor incident, but none of this can be confirmed from the fields given. Given the sparse evidentiary basis, I am abstaining from a confident probable cause determination and flagging that additional data (narrative report, aircraft damage/finding codes, sequence of events) would be required to properly classify this occurrence.","0.2","False","0","0","B","","0.054141"
"ERA21FA189","404401","['0203101046' '0204152046' '0206304046' '0303502584' '0303602084'
 '0303503584' '0202102546']","The student pilot’s continued visual flight rules flight into night instrument meteorological conditions, which resulted in spatial disorientation and a rapid uncontrolled descent into terrain. Contributing to the accident were the self-induced and external pressures that likely influenced the pilot’s decision to both initiate and continue the flight. 
","LOC-I (Loss of Control - Inflight)","LOC-I (Loss of Control - Inflight)|CFIT (Controlled Flight Into Terrain)|SCF (Weather-related loss of control)","Pilot continued VFR flight into IMC (deteriorating weather/night IMC)|Pilot's spatial disorientation|Pilot's decision-making - self-induced pressure/external pressure to complete flight (get-there-itis)|Inadequate preflight weather planning/delayed departure|Night instrument meteorological conditions encountered by non-instrument-rated (student) pilot|Loss of aircraft control during descent","The student pilot's decision to continue a VFR flight at night into an area of deteriorating weather and instrument meteorological conditions (low ceilings/IFR conditions along the route), rather than diverting or delaying further, which led to spatial disorientation and a subsequent loss of airplane control during a descent through clouds/precipitation. Contributing to the accident were the pilot's self-imposed and external pressures to reach the destination (visiting a hospitalized parent and a family member's travel schedule), a significantly delayed departure that placed the flight into worsening nighttime weather, and the pilot's lack of an instrument rating/limited experience to safely handle inadvertent IMC encounter.","0.72","False","1","1","","","0.058907999999999995"
"WPR22FA100","450337","['0106201008' '0106201008' '0206304044']","The pilot’s improper aerobatic maneuver leading to an airspeed that exceeded the airplane’s design limits, which resulted in rudder flutter and an in-flight breakup.","In-flight structural failure / loss of control","In-flight structural failure|Loss of control in flight|Aircraft structural failure - flutter","Aircraft-Performance-Aerobatic maneuver-Performed|Aircraft-Airspeed-Not attained/maintained-Overspeed (exceeded Vne)|Aircraft-Structural component-Empennage-Failure|Personnel issues-Task performance-Pilot-Improper decision|Environmental issues (N/A)|Aircraft weight - exceeded aerobatic weight limitation","The pilot's decision to perform aerobatic maneuvers (an aileron roll and a split-S) in an airplane that exceeded the maximum weight limitation for aerobatic flight, resulting in an excessive airspeed during the recovery from the split-S maneuver that exceeded the airplane's never-exceed speed (Vne) and induced rudder/empennage flutter, leading to an in-flight structural failure and breakup. Contributing factors were the pilot's lack of aerobatic training and the airplane's overweight condition for aerobatic maneuvers.","0.82","False","1","1","","","0.051519"
"CEN23LA301","150230","['0206304046']","The student pilot’s failure to maintain helicopter control while on the ground when his attention was diverted for post flight activities.","LOC-G (Loss of control on ground)","Loss of control on ground|Dynamic rollover|Abnormal runway/ground contact","Pilot experience/training - student pilot|Aircraft control - not maintained|Personnel issues - lack of total experience in type","The evidence available (a low-time student pilot with only 36 total flight hours operating a Schweizer 269C-1 helicopter, occurrence during the 'Standing' phase of flight, VMC conditions, and minor injury with no indication of mechanical or weather factors) is consistent with a loss of aircraft control during ground/rotor operation, most likely a dynamic rollover or similar ground-handling event attributable to the student pilot's limited experience. However, no narrative, findings detail, or damage description was provided, so this determination is inferred rather than confirmed by direct evidence.","0.35","True","0","1","B","","0.038168999999999995"
"WPR22FA195","451220","['0206304044' '0106201220']","The pilot’s failure to maintain altitude during an aerobatic maneuver, which resulted in an impact with terrain.","LOC-I","Loss of control (in flight)|Aerodynamic stall/spin|Collision with terrain (CFIT)","Aircraft-Performance-Aerodynamic stall - Not attained|Personnel issues-Task performance-Aircraft control-Pilot|Environmental issues-Aerobatic maneuver-Ability to respond/compensate|Personnel issues-Psychological-Behavior/values-Self confidence","The pilot's failure to maintain adequate airspeed/control during an aerobatic maneuver (barrel roll climb), resulting in an aerodynamic stall at low altitude and a subsequent loss of control from which he did not recover before ground impact.","0.72","False","1","1","","","0.039423"
"ENG21LA011","301343","['0105723001' '0401302066' '0105723015' '0401301066']","An uncontained left engine failure caused by a low cycle fatigue crack that originated from a manufacturing machining groove on the high pressure compressor impeller aft face. Contributing to the incident was service bulletin borescope inspection criteria that was insufficient to detect the presence of machining grooves on the high pressure compressor impeller at the time the incident engine was inspected in May 2004.","Engine Failure (Uncontained)","Engine Failure (Uncontained)|Powerplant System/Component Failure or Malfunction|Loss of Engine Power (Partial)","Aircraft-Engine-Compressor-Impeller-Fatigue failure|Material fatigue/Low cycle fatigue (LCF)|Aircraft-Engine-Compressor-Impeller-Machining groove defect (crack initiation site)|Manufacturer-Design/manufacturing-Machining process (contributing)","The uncontained failure of the No. 1 engine's high-pressure compressor (HPC) impeller during takeoff roll, which resulted from a low-cycle fatigue crack that initiated at a circumferential machining groove on the aft face of the impeller and propagated until overload separation occurred. Metallurgical examination found no material anomalies at the crack origin and the impeller met drawing/material specifications, indicating the fatigue crack initiation was attributable to stress concentration at the machining groove feature rather than a material defect or maintenance discrepancy.","0.85","False","1","1","","","0.045894"
"ANC24LA010","551092","['0206304044' '0303404091' '0106204020']","The first pilot’s failure to maintain a stabilized approach, in gusty crosswind conditions, in an environment favoring wake turbulence.","Loss of control on ground/landing","Loss of control on ground/landing|Hard landing|Runway excursion","Wind conditions - gusts|Pilot technique - directional control|Landing flare/touchdown","The evidence provided is minimal (aircraft/pilot data, weather METAR showing wind 120 at 10 knots gusting to 17, phase of flight = landing, VMC, no injuries). This pattern is consistent with a loss of directional control or hard/bounced landing during a gusty-wind approach in a Cessna 172, but there is no narrative, damage description, or runway/heading information to confirm the specific mechanism (e.g., crosswind component, flare timing, bounced landing, gear collapse). Given the gusting wind (10G17kt) at the time of landing and the lack of any injury (suggesting a low-severity ground event rather than an in-flight upset), the probable cause is most consistent with the pilot's inability to maintain aircraft control during landing in gusty wind conditions, resulting in a runway excursion or hard landing. However, confidence is limited due to absence of narrative and damage/sequence-of-events data.","0.35","True","1","1","","","0.057915600000000005"
"WPR20CA299","600120","['0206103044' '0302202082' '0107101024']","The pilot's inadequate fuel planning, which resulted in a loss of engine power due to fuel exhaustion and a collision with trees and terrain. 
","UNK","Miscellaneous/other|Powerplant failure|In-flight fire/smoke","Insufficient evidence","The available evidence fields (aircraft type, pilot certification/hours, VMC weather, 'EmergencyDescent' phase of flight, and minor injury outcome) do not include narrative details, findings, or specific system/component failures needed to determine what precipitated the emergency descent. Without additional factual data (e.g., engine instrument readings, pilot statements, maintenance records, or NTSB findings codes), a probable cause cannot be reliably determined.","0.15","True","0","0","B","","0.047905500000000004"
"WPR20CA146","251900","['0206301544' '0202151044']","The pilot's diverted attention while taxing which resulted in his failure to maintain clearance from the skip loader during taxi.","Collision with object (taxi)","Collision with object (taxi)|Loss of directional control|Abnormal runway/taxiway contact","Pilot inattention/distraction (GPS setup)|Failure to maintain clearance from object|Inadequate visual lookout","The pilot's diverted attention to setting up the GPS during taxi, resulting in the airplane drifting left and colliding with a skip loader positioned adjacent to the taxiway, causing substantial damage to the right horizontal stabilizer.","0.9","False","1","1","","","0.030381"
"WPR21LA342","100194","['0204101539' '0107101022']","The fuelers addition of the incorrect fuel to the fuel tanks which resulted in a total loss of engine power.   
","PROP STRIKE","PROP STRIKE|FIRE/EXPLOSION|OTHER/UNKNOWN","Not determined - insufficient evidence","The available evidence is extremely limited (aircraft type, pilot experience, clear-VMC weather, and a phase of flight of ""Standing"" with one serious injury). There is no narrative, sequence-of-events, or defect/malfunction data provided. Given the ""Standing"" phase of flight combined with a serious injury, the accident most plausibly involved a ground-operations event (e.g., a person struck by a rotating propeller during engine start/taxi-in, or a fire/mishap while the aircraft was parked with engine running) rather than an in-flight occurrence, since weather and pilot experience data are unremarkable and not indicative of a flight-related loss of control. However, without the actual event narrative or findings coding, the specific probable cause cannot be reliably determined.","0.25","True","0","0","B","","0.037095"
"WPR22FA298","450401","['0204152044' '0206300044' '0102311005' '0206102044' '0303507584']","The pilot’s continued operation of the airplane with known mechanical malfunctions with the flight displays, and his continued flight into instrument meteorological conditions, which resulted in an inflight collision with terrain while maneuvering.","LOC-I","LOC-I|CFIT|VFR encounter with IMC","Pilot continued VFR flight into IMC|Spatial disorientation|Pilot impairment - use of sedating medication (doxepin)|Low altitude maneuvering near terrain/fog bank|Pilot medical condition (dilated cardiomyopathy) - undetermined relevance","The pilot's decision to continue flight into an area of low clouds/fog and his subsequent loss of airplane control, likely due to spatial disorientation, while maneuvering at low altitude near a fog bank in instrument meteorological conditions. Contributing to the accident was the pilot's use of doxepin, a sedating, impairing antidepressant medication that is disqualifying for flight duty, which likely degraded his cognitive and decision-making performance.","0.55","False","0","0","","","0.0819342"
"ERA20LA234","550850","['0106204120' '0201205044']","The pilot’s impairment or distraction due to an acute stroke, which resulted in an unstabilized approach and subsequent loss of airplane control during landing.
","Landing - hard/bounced landing, loss of control","Landing - bounced landing/loss of control|Landing - abnormal runway contact|Landing - long/hard landing","Aircraft-Landing flare-not attained/maintained|Personnel issues-Task performance-Pilot flying-Incorrect|Pilot-Experience/knowledge-recency of flight review (approx 2.75 years since last review)|Personnel issues-Physical impairment-Possible acute lacunar stroke/cardiovascular disease|Environmental issues-Not a factor (VMC)","The pilot's failure to maintain aircraft control during a bounced landing, which resulted in a runway excursion and subsequent nose-over/rollover. Contributing to the accident was the pilot's lack of recent flight experience/review (last flight review nearly 3 years prior) and the possibility that a physiological event (acute lacunar stroke evidence found at autopsy, along with cardiovascular disease) may have impaired her performance during the approach and landing, though this could not be conclusively established as causal given no anomaly was found with the aircraft or engine.","0.55","False","1","1","","","0.042864"
"CEN23LA052","401240","['0106200020']","The pilot’s failure to maintain control of the airplane that resulted in an uncontrolled descent and overstress of the airframe during his recovery of the airplane.","UNK","Unknown|Unknown|Unknown","","Insufficient evidence to determine probable cause. The provided data contains only structured metadata (aircraft type, pilot certificate/hours, weather condition, phase of flight, injury level) with no narrative description of the sequence of events, no mechanical/system findings, no indication of pilot action or environmental factor that led to the occurrence, and no description of what the actual accident/incident event was (e.g., loss of control, system failure, runway excursion, etc.). With injury level 'None' and VMC enroute conditions but no further detail, there is no basis to infer a specific occurrence type or causal finding without fabricating information. Per project constraints against guessing, I abstain.","0.05","True","0","0","B","","0.0345"
"WPR20LA306","251094","['0106202021' '0102321006']","The failure of the right landing gear due to fatigue cracking.
","Landing gear collapse","Landing gear collapse|Gear not extended/retracted|Loss of control on ground","Landing gear main - fatigue|Aircraft component - bolt fracture|Material fatigue|Right main landing gear bolts - fatigue cracking","A fatigue failure of the right main landing gear attachment bolts, which resulted in the collapse of the right landing gear during taxi and consequent substantial damage to the wing.","0.85","False","1","1","","","0.034149"
"DCA24FA017","552320","['0204101045']","The takeoff by the flight crew of N269AA, without a takeoff clearance, which resulted in a collision with N510HM that was landing on an intersecting runway. Contributing to the accident was the N269AA crew’s expectation bias and distraction.","GCOL","GCOL - Ground collision|RI - Runway incursion|ARC - Abnormal runway contact","Personnel issue - Air traffic control - Inadequate traffic separation/monitoring|Personnel issue - See and avoid - Not maintained by ATC or flight crew|Environmental issue - Airport surface detection equipment - Late alert (ASDE-X alarm only ~11 seconds prior to collision)|Personnel issue - Communication/clearance issue between two aircraft operating on same runway/taxi environment","The evidence provided (largely background information on ATC controller certifications, ASDE-X system function, and CVR recorder issues) indicates a collision between two airplanes (N510HM and N269AA) at William P. Hobby Airport during the landing phase, with the ASDE-X system generating a conflict alert only about 11 seconds before impact. This pattern is consistent with an air traffic control failure to detect and resolve a runway/taxiway conflict between the two aircraft in time to prevent a ground collision, though the excerpt does not include the final analysis section explicitly stating which aircraft failed to hold short, cross, or was cleared in error. Based on available evidence, the probable cause was the failure of air traffic control (and/or flight crew) to ensure separation between N510HM and N269AA operating in proximity to the runway environment, resulting in a ground collision during the landing sequence.","0.35","False","0","0","B","","0.061521"
"CEN21LA471","508390","['0206304044' '0106204021' '0303404581' '0303402081']","The airplane’s encounter with gusting wind conditions and low-level wind shear on final approach, which resulted in a loss of control, an aerodynamic stall, and a subsequent hard landing.
","Unknown","Loss of control on landing|Hard landing|Abnormal runway/landing contact","Insufficient evidence","The evidence provided is insufficient to determine a probable cause. The record contains only aircraft/pilot metadata (Just Aircraft Highlander, ATP-rated pilot with 13,500 total hours and 400 hours in type), a METAR showing VMC conditions, the phase of flight (approach), and injury level (serious). There is no narrative, sequence-of-events data, findings, or description of any mechanical, environmental, or pilot-performance factor that led to the accident. Without a factual narrative or coded findings describing what actually happened during the approach/landing (e.g., loss of control, hard landing, gear failure, terrain/obstacle contact, engine issue), any probable cause determination would be speculation rather than an evidence-based conclusion.","0.15","True","0","0","C","weather","0.044175900000000004"
