case_id,factual_account,your_guess_at_cause,your_confidence_0_to_1,sentences_that_state_a_conclusion,correct
"WPR20CA113","The pilot reported that just before touchdown, the airplane encountered a gust of wind from the left, which caused the airplane to weathervane to the right and the left wing being lifted up. The pilot applied left aileron control and full power but was unable to maintain control of the airplane. The airplane's right wing tip impacted the ground, the landing gear collapsed, and the airplane nosed down. The airplane sustained substantial damage to the left wing. The pilot reported that there were no mechanical failures or malfunctions with the airplane that would have precluded normal operation.","Maybe down to pilots experience and the crosswind","0","","1"
"CEN23LA214","On May 31, 2023, about 2030 eastern daylight time, a Progressive Aerodyne Inc Searey LSA, N316SR, was substantially damaged when it was involved in an accident near Detroit, Michigan. The pilot and certificated flight instructor were not injured. The airplane was operated as a Title 14 Code of Federal Regulations Part 91 personal flight.
The airplane was inbound for landing at the Coleman A Young Municipal Airport (DET), Detroit, Michigan, and the pilot was instructed to report a 2-mile left base for runway 15. The tower controller radioed for a progress report and received no response. The pilot later called the tower to report that the airplane’s engine lost power and he landed in a residential neighborhood between two garages. During the forced landing the airplane struck trees, which resulted in substantial damage to the left wing.
The pilot/owner stated that the airplane had not flown since October 2020, and he had the mechanic that had constructed the airplane perform a condition inspection that was completed on May 26, 2023. The accident flight was an “instruction/currency” flight with a flight instructor. According to the pilot’s report, the flight originated about 1800. During the return portion of the flight, about 7 miles from the airport, they contacted the DET air traffic control and were advised to expect a visual approach for runway 15. Shortly afterward the airplane’s engine stopped producing power. Attempts to restart the engine were not successful. The restart attempts included activating the auxiliary fuel pump. He noted that he glanced at the fuel gauge and it indicated ¼ full. During the restart attempts the flight instructor assumed control of the airplane while the pilot attempted to restart the engine.
Automatic dependent surveillance – broadcast (ADS-B) data recorded the airplane when it departed DET at 1730 and the final position was recorded at 2030, indicating that the airplane was aloft for 3 hours.
Examination of the airplane after the accident revealed that only a trace amount of fuel was visible in the semi-transparent plastic fuel tank; the tank did not appear to be breached. After the airplane was removed from the accident site and leveled on a trailer used for recovery the fuel gauge read empty. A subsequent engine run was performed where fuel was added to the tank and the engine started. The engine was operated from idle to full throttle and no anomalies were detected during the engine run.","Empty fuel tank","0.8","","1"
"CEN21FA220","On May 17, 2021, about 1308 eastern daylight time, a Cessna 182H airplane, N2430X, was destroyed when it was involved in an accident near St. Louis, Michigan. The pilot was fatally injured. The airplane was operated as a Title 14 Code of Federal Regulations Part 91 pipeline patrol flight.

According to the operator’s fleet monitoring data, about 0828, the airplane departed Clare Municipal Airport (48D), Clare, Michigan, and completed a pipeline patrol flight to the southeast. About 1128, the airplane landed at Romeo State Airport (D98), Romeo, Michigan. According to fueling records, the pilot purchased 48.19 gallons of 100 low-lead aviation fuel before he departed D98 about 1206. The accident occurred during a pipeline patrol flight that tracked northwest toward Kalkaska, Michigan.

A review of Federal Aviation Administration (FAA) radar data revealed that, during the final 4.5 minutes of the flight, the airplane’s altitude was between 450 ft and 800 ft above ground level (agl) as it followed the intended pipeline. The airplane’s ground track was offset to the right of the pipeline until about 1307:35, at which point it crossed over the pipeline and continued northwest about 1,000 to1,250 ft to the left of the pipeline, as shown in figure 1. The operator reported that the airplane should be flown to the right of the pipeline to ensure that the pilot, who is seated in the left cockpit seat, can maintain an unobstructed view of the pipeline during the patrol flight.




Figure 1 – Radar track data

Two individuals reported that the pilot posted a Snapchat video shortly before the accident. The Snapchat video reportedly depicted the terrain ahead of the airplane’s position and showed the wind turbines and cornfields located about 5 to 10 miles southeast of the accident site. Although the video was automatically deleted from the Snapchat platform 24 hours after the accident, it reportedly did not include the final moments of the flight. One of the individuals provided a screenshot of the Snapchat application’s map that showed the approximate location of the pilot’s location when he posted the video. When compared to the airplane’s recorded radar ground track, the pilot’s Snapchat post was about 1.5 miles southeast of a 1,049-ft-tall radio tower, as shown in figure 2. According to a visual flight rules (VFR) sectional chart, the top of the radio tower was at 1,739 ft mean sea level (msl), as shown in figure 3.


Figure 2 – Radar track data and approximate location of pilot’s snapchat post


Figure 3 – VFR sectional chart with location of the radio tower (red circle)

According to radar data, the airplane continued northwest toward the radio tower. At 1308:18, the airplane was 0.65 miles southeast of the tower in a shallow right turn when it entered a climb from 475 ft agl. The final radar return, at 1308:33, was about 600 ft east-southeast of the tower, at which point the airplane’s altitude, calibrated airspeed, and climb rate were about 1,370 ft msl, 104 knots, and 1,575 ft per minute, respectively, as shown in figure 4. The airplane’s final altitude was 370 ft below the top of the radio tower and its ground track was toward the guy wires located on the northeast side of the radio tower.


Figure 4 – Airplane altitude, speed, and vertical speed




Figure 5 – Airplane ground track, roll angle, and flight path angle An autopsy of the pilot was authorized by the Midland County Coroner’s Office, Midland, Michigan, and completed at McLaren Bay Region Hospital, Bay City, Michigan. According to the autopsy report, the cause of death was blunt force injuries and thermal burns, and the manner of death was an accident.

Toxicological testing completed by the Federal Aviation Administration’s Forensic Sciences Laboratory identified amlodipine in the pilot’s blood and liver. Amlodipine is a calcium channel blocker used to treat high blood pressure and coronary artery disease. The pilot reported the use of amlodipine to his FAA medical examiner who authorized its use and issued him a 1st class medical. The remaining toxicological testing did not detect any additional medications, ethanol, drugs of abuse, or carboxyhemoglobin. The wreckage debris path began in the vicinity of the radio tower. The left wing, left horizontal stabilizer, left elevator, and left cabin door were found near the radio tower and within the support guy wire perimeter, as depicted in figure 6.

Postaccident examination revealed that the airplane’s left wing collided with a support guy wire attached to the northeast side of the radio tower. The left wing separated from the fuselage at the wing root. Most of the left-wing leading edge separated from the main wing structure along a lateral rivet line and exhibited damage consistent with a guy wire impact. The fresh air inlet tube located in the leading edge of the left wing exhibited a U-shape compression that was consistent with the diameter of the outermost tower guy wires. The left-wing lift strut and front spar were severed in two portions about 4 ft from the wing attach point. The damage to the left-wing lift strut exhibited a U-shape compression that was consistent with the diameter of the outermost tower guy wires. The left horizontal stabilizer and left elevator separated the aft fuselage during the impact sequence, and the leading edge of the left horizontal stabilizer exhibited damage consistent with the left wing impacting the surface.

The main wreckage was located in a dirt field about 0.3 mile northwest of the radio tower. All major airframe structural components and flight control surfaces were identified along the wreckage debris path. Most of the airplane fuselage, cabin, and cockpit were destroyed by the postaccident fire. 

Postaccident examination of the airplane wreckage did not reveal any evidence of a mechanical malfunction or failure that would have prevented normal operation of the airplane before it collided with the radio tower guy wire. All physical damage to the airframe, flight controls, engine, and propeller was consistent with impact with a tower guy wire, impact with the ground, or the postaccident fire.


Figure 6 – Wreckage Debris Path at Accident Site","No idea","0","","0"
"ERA22LA340","On July 27, 2022, about 1345 eastern daylight time, a Robinson R22 helicopter, N42WC, was substantially damaged when it was involved in an accident near Hollywood, Florida. The flight instructor was not injured, and the student pilot received minor injuries. The helicopter was operated as a Title 14 Code of Federal Regulations Part 91 instructional flight.
According to the instructor, after completing an engine run-up, he “picked up” the helicopter and was air-taxiing to the practice area to conduct some hover work. Before reaching the practice area, a “popping” and “banging” sound was heard from behind the helicopter, followed by an uncommanded right yaw. The instructor attempted to regain control, but the helicopter collided with the ground and rolled over onto its right side. The instructor and student pilot exited the helicopter. 
Examination of the helicopter by a Federal Aviation Administration inspector revealed that the tail rotor assembly was separated; both tail rotor blades remained attached and the output shaft was also attached. Both tail rotor blades were bent and were impact damaged. The tail rotor gearbox was fractured, with half of the casing missing. The main rotor blades were bent down and curled, with multiple kinks and creasing from leading edge to trailing edge. Multiple impact signatures were noted on the ground within the rotor diameter of the helicopter. 
Examination of the tail rotor gear box and tail rotor blades revealed corrosion within both blades. The exam revealed that erosion of the leading edge provided a path for moisture to ingress into the bond joint and deteriorate the adhesive.
The owner and the mechanic stated that the helicopter’s maintenance records were previously damaged by water and had to be reconstructed digitally. The records provided appeared to show that most life-limited parts had been overflown by 374.1 hours. The pilot stated that he had noted damage on the helicopter’s tail rotor blades during a preflight inspection about two weeks before the accident and that the operator had replaced the blades. Review of the available maintenance records for the helicopter revealed that the serial numbers of the tail rotor blades installed did not match that noted in the maintenance records. The available records also did not document any replacement of the tail rotor blades.","Damage to the rotor blades","0.5","","0"
"CEN20LA239","On June 20, 2020, about 1853 eastern daylight time, a Cessna 150J airplane, N51033, was destroyed when it was involved in an accident near Millersport, Ohio. The pilot sustained a minor injury. The airplane was operated as a Title 14 Code of Federal Regulations Part 91 personal flight.

The pilot reported to law enforcement officers that he took off from his private airstrip and intended to make a touch-and-go landing at his airstrip. He added that, during his turn toward the runway, the engine “gave out.” A witness saw the airplane flying north before it banked west and collided with power lines. Another witness noted the airplane flying low before it turned and impacted the power lines. The airplane then impacted terrain and nosed over. A postimpact fire consumed most of the airplane.

The pilot did not submit an accident report form or a written statement to investigators. 

A review of automatic dependent surveillance-–broadcast (ADS-B) data showed the airplane was first detected at 1721 as the airplane departed from Fairfield County Airport (LHQ), Lancaster, Ohio. The track proceeded north to the pilot’s airstrip where it appeared he flew a low approach or a touch-and-go. The track then proceeded south to LHQ where it appeared the airplane performed a low approach or a touch-and-go before proceeding north again. ADS-B data depicted another complete circuit north to the private airstrip, south to LHQ, and then north. The last ADS-B data was recorded at 1853 near the accident site.

Due to the extensive fire damage, investigators were unable to establish how much fuel was on board or examine the fuel system. During an engine examination the compression test found the No. 2 cylinder had low compression, with air leaking through the intake. The intake and exhaust valve moved as the propeller was rotated. The No. 2 cylinder was examined using a borescope; no defects were noted. The magnetos were melted and could not be tested. No other anomalies were noted with the engine.
","Flying into power lines","0.4","","0"
"WPR23LA025","On October 25, 2022, sometime before 1800 Pacific standard time, an unregistered Airborne Windsports Edge X weight-shift-control aircraft was substantially damaged when it was involved in an accident at Alturas Municipal Airport (AAT), Alturas, California. The non-certificated pilot was fatally injured. The aircraft was operated as Title 14 Code of Federal Regulations Part 91 personal flight.
According to law enforcement, an officer was dispatched at approximately 1807 and observed the accident aircraft between the north and southbound runway and taxiway. The responding officer had been on duty earlier and recalled observing the aircraft flying around the area between 1200 and 1500. There were no known witnesses of the accident event. Flight track data of the accident flight was not available. 
PERSONNEL INFORMATION
According to the previous owner, before the transfer of ownership he conducted several flight hours with the accident pilot to demonstrate how the aircraft handles. After the previous owner had suggested not to fly the aircraft without first receiving introductory lessons, the accident pilot expressed confidence, and stated he was familiar with flying hang gliders. 
AIRCRAFT INFORMATION
The previous owner stated that the engine and propeller had accumulated 7 hours of total time when he sold the aircraft to the accident pilot.
MEDICAL AND PATHOLOGICAL INFORMATION
The autopsy identified severe atherosclerosis in the pilot’s right coroner artery (95%) and the left anterior descending coronary artery (75%), severe aortic atherosclerosis, cardiomegaly (395 grams), and left ventricular hypertrophy (2.0 centimeters). Toxicology testing detected carboxy-delta-9-tetrahydrocannabinol (THC-COOH), in the pilot’s heart blood at 10 nanograms per milliliter (ng/mL) and in urine at 313.1 ng/mL. 11-hydroxy-delta-9-THC (11-OH-THC) was detected in his urine at 33.7 ng/mL, but not in his blood. The non-impairing medication salicylic acid was detected in the pilot’s heart blood and urine.","Heart attack of the pilot","0.5","","0"
"CEN24LA014","A review of the airframe maintenance logbook indicated that the last annual inspection of the airplane was completed on May 16, 2023, about 5 months before the accident, at an airframe total time of 2,572.7 hours. The airframe logbook entry for the last annual inspection did not refer to the condition of or any work completed on the airplane’s brake system. However, the work order associated with the last annual inspection included the discrepancy, “Brake discs beyond allowable limits (replace parts),” but there were no corrective actions taken because when rechecked the brake components were reportedly “within allowable limits.” Based on the work order invoice, there was no labor charge associated with the brake system inspection despite the aircraft owner being charged for 8 replacement brake linings.

Further review of the airframe maintenance logbook revealed the last time the brake linings were replaced was on March 19, 2015, at an airframe total time of 1,893.7 hours. At the time of the accident, the brake linings had accumulated 807.8 hours since they were installed. On October 6, 2023, about 0945 eastern daylight time, a Cirrus SR22 airplane, N969JB, was substantially damaged while taxiing at the MBS International Airport (MBS), Saginaw, Michigan. The pilot and passenger were not injured. The airplane was operated as a Title 14 Code of Federal Regulations Part 91 personal flight.

The pilot reported that he taxied from the fixed-base operator’s building to runway 23 via taxiway C to taxiway C4 and held short at the approach end of runway 23. As the pilot increased brake pressure to stop the airplane, it turned to the left and completed a full 360° turn before coming to rest. The passenger then offered to try his brake pedals, but the airplane only turned to the left; the pilot and passenger concluded they had no control of the right brake. The passenger then observed a fire emanating from under the right wing. The airport’s aircraft rescue and firefighting personnel responded and extinguished a fire associated with the right brake assembly. The right wing’s lower surface sustained substantial thermal damage during the ground fire. An examination of the left brake assembly revealed a darkened temperature indicator sticker that indicated the left brake assembly had previously exceeded the manufacturer’s temperature limitation. The right brake assembly sustained significant thermal damage during the ground fire and its associated temperature indicator stickers were not observed.

As part of the investigation, an aviation mechanic measured the thickness of the airplane’s brake linings. The measured thickness of the brake linings was reported as follows:

Left inner brake lining, 0.144 inch
Left outer brake lining, 0.120 inch

Right inner brake lining, 0.066 inch
Right outer brake lining, 0.052 inch

The postaccident examination of the airplane’s brake system established that the brake components were consistent with the original brake design before the release of Cirrus Service Bulletin No. 2X-32-12. According to the Cirrus SR22 Maintenance Manual, if not modified by Service Bulletin No. 2X-32-12, the serviceable wear limit for the brake linings was 0.1 inch.","brake failure","0.6","","1"
"ERA23FA239","On May 21, 2023, about 1530 eastern daylight time, a Commander 114TC airplane, N6042E, was destroyed when it was involved in an accident near Palm City, Florida. The pilot was fatally injured. The airplane was operated as a Title 14 Code of Federal Regulations Part 91 personal flight.
An eyewitness near the accident site reported that she saw the airplane flying at a low altitude over the trees. The witness noted that the engine sounded normal; however, as the airplane approached, the engine made a strange noise and abruptly stopped. The airplane entered a descending turn and impacted the ground before sliding to a stop in a small ditch. After impact, the airplane caught fire, and the cockpit became engulfed in flames. Despite the efforts of bystanders, the pilot could not be extricated from the airplane. Emergency services arrived shortly thereafter and extinguished the fire. An autopsy of the pilot was performed by the District 19 Medical Examiner. According to the autopsy report, the cause of death was blunt force injuries, and the manner of death was accident.
FAA toxicology testing detected 11-hydroxy-THC in urine at 3.5 ng/mL and did not detect 11-hydroxy-THC in heart blood. Carboxy-delta-9-THC was detected in heart blood at 4.4 ng/dL and in urine at 22.6 ng/mL.
11-hydroxy-THC and carboxy-delta-9-THC: 11-hydroxy-THC is a psychoactive metabolite of delta-9-THC. Carboxy-delta-9-THC is a non-psychoactive metabolite of delta-9-THC. Delta-9-THC (which was not detected in this case) is the primary psychoactive chemical in cannabis, including marijuana, hashish, and other cannabis products such as extracts and edibles. Cannabis may be inhaled or ingested recreationally by users seeking mind-altering effects. The specific psychoactive effects of delta-9-THC vary depending on the user, user history of use, dose consumed, and route of consumption. Effects of cannabis use may impair motor coordination, worsen reaction time, impair decision making and problem solving, distort perceptions of reality, and decrease vigilance. The wreckage was located about 700 yards north of the departure end of runway 36 at Naked Lady Ranch Airport (64FA), Stuart, Florida. All flight control surfaces were accounted for at the accident site. The cockpit and fuselage sustained damage due to impact and the post-impact fire. The flight control cables remained exposed but intact, connected to their respective flight control surfaces and bellcranks. Flight control continuity was established throughout the flight control system. The left and right wings were impact- and fire- damaged, while the vertical and horizontal stabilizers remained intact. The rudder and elevators exhibited signs of soot from the ground fire.
The fuel selector was found in the right tank position and was tested using forced air. All fuel selector positions were checked, and the detent on the selector operated properly. No anomalies were noted with the fuel selector. The amount of fuel each fuel tank could not be determined due to the fire damage of the fuel tanks.
The engine remained attached to the engine mounts and displayed evidence of fire damage. It was equipped with a three-blade propeller. One blade appeared undamaged, while another exhibited chordwise scoring and a bent tip. The third blade was bent aft beneath the fuselage of the airplane.
The examination of the engine revealed continuous valvetrain continuity throughout the engine and accessory components when the crankshaft was rotated 720°. Compression was observed in all cylinders. An unquantified amount of oil leakage was noted from the engine due to the impact-damaged oil supply lines. The spark plugs appeared normal and did not exhibit any signs of malfunction. The magnetos were removed and their input drives rotated, producing spark on all terminals. The propeller governor oil screen was free of debris. Both vacuum pumps were removed and displayed damage from impact and heat.
The fuel pump was removed and tested, demonstrating continuous fuel pumping as the input shaft was rotated. The fuel injectors were inspected and showed no signs of clogging. A trace amount of fuel was found within the fuel divider.  The fuel inlet screen was removed from the fuel injection servo and found to be free and clear of debris.  
Both turbine wheels of the turbocharger system were found undamaged and spun freely when rotated by hand.  No debris was present on the inlet side.","The pilot had taken cannibis","0.6","","0"
"CEN23FA201","On May 24, 2023, about 1101 central daylight time, a Cessna 182T airplane, N577TZ, sustained substantial damage when it was involved in an accident near Grand Isle, Louisiana. The pilot was fatally injured. The airplane was operated as a Title 14 Code of Federal Regulations Part 91 aerial observation flight.
According to company information and ADS-B data, the pilot departed his home base of Ocean Springs, Mississippi, about 0805 for a routine fish spotting flight. ADS-B data indicated that the pilot performed several low-level flight maneuvers for about 3 hours that were consistent with aerial observation for fish spotting activities. 
During the flight, about 1030, the pilot made radio contact with a boat captain to coordinate a short flight to the west of the boat to scout fish locations. The boat captain stated the pilot seemed upset, agitated, and discouraged due to some unknown issue that occurred the day before. During the radio communications, the pilot stated several swear words and inappropriate language, which was extremely abnormal for the pilot and in violation of company policy. 
The pilot descended to about 500 ft above ground level near Cat Island, and the boat captain could tell the pilot was still upset. The boat captain told the pilot to go land the airplane and take a break. The pilot stated he was going to fly to the north and that was the last communication the boat captain had with the pilot. About 1104, the boat captain texted the pilot to let him know he was not going to fish to the west; there was no response from the pilot.
The last ADS-B contact showed the airplane about 1.8 miles offshore on a southwest heading about 175 ft above the ocean water (see figures 1 and 2).
Figure 1. ADS-B data showing the end of the flight track.

Figure 2. ADS-B data showing the end of the flight track.
There were no emergency or distress calls received from the accident airplane. Based on company flight tracking information, company personnel notified the US Coast Guard about a missing airplane and a search was initiated. The pilot’s body was located the following morning near a coastline, but the airplane was not located.
On June 6th, a shrimp boat fishing net caught the airplane. Unable to raise the airplane onto the boat, the shrimp boat captain cut the net and noted the location. On June 11th, a majority of the airplane wreckage was recovered about 1.8 miles offshore of Grand Isle in about 15 ft of water. An autopsy of the pilot was performed by the Jefferson Parish Forensic Center, Harvey, Louisiana. According to the autopsy report, the cause of death was multiple blunt force injuries and drowning, and the manner of death was accident. 
The FAA Forensic Sciences Laboratory performed toxicological testing on postmortem specimens from the pilot. No drugs of abuse were detected. Ethanol was detected in cavity blood at 0.278 g/dL, in vitreous fluid at 0.245 g/dL, in muscle tissue at 0.249 g/dL, and in brain tissue at 0.283 g/dL. N-propanol was detected in cavity blood and brain tissue and was not detected in vitreous fluid or muscle tissue. N-Butanol was detected in cavity blood and was not detected in vitreous fluid, muscle tissue, or brain tissue. 
Ethanol is a type of alcohol. It is the intoxicating alcohol in beer, wine, and liquor, and if consumed, can impair judgement, cognition, and vigilance. Performance impairing effects can include worsening judgement and reaction times, alterations in perception of the environment, poor coordination and changes in behavior and mood. Performance-impairing effects worsen as blood levels of ethanol increase. Once consumed, ethanol is absorbed into circulation and rapidly distributes into total body water, resulting in relatively similar ethanol levels in various body tissues. Alcohol consumption is not the only possible source of ethanol in postmortem specimens. Ethanol can sometimes be produced by microbes in a person’s body after death. Postmortem ethanol production is made more likely by extensive traumatic injury. Vitreous fluid generally is better protected from postmortem microbial spread and therefore is less susceptible to postmortem ethanol production than other specimen types. FAA regulations impose strict limits on flying after consuming ethanol, including prohibiting pilots from flying with a blood ethanol level of 0.04 g/dL or greater. 
N-propanol and n-butanol are other alcohols that can be produced by microbes in a person’s body after death. Their presence is a postmortem specimen, which is potentially indicative of postmortem microbial activity in the specimen but does not reliably indicate that postmortem ethanol production occurred. The extent of airframe damage during the water impact was unknown due to ocean tide activity, the shrimp boat net entangling the wreckage, and subsequent recovery operations. The fuselage was recovered in about four main sections: forward fuselage, mid-fuselage, empennage, and left wing. The right wing, two cabin doors, lower engine cowling, and a portion of the upper rudder surface were not located.
The forward fuselage, which included the engine and propeller assembly, sustained underside crush damage. The nose landing gear strut was bent and pushed aft about 60° into the firewall and forward fuselage floor. The forward fuselage floor was bent and distorted (see figure 3). Neither forward seat restraint was found secure in their respective buckle assemblies. The fuel selector valve was found in the BOTH fuel tank position, and fuel was noted in the valve. A damaged can of White Claw Hard Seltzer, which appeared to be unopened, was located behind the instrument panel.

Figure 3. Right side of forward fuselage, engine, and propeller assembly.
Flight control continuity was established from the mid-fuselage section to the cockpit controls. Disconnects in the flight control cables and system were consistent with impact and recovery operations. The left-wing flap was recovered in the extended position, and the flap push/pull rod was bent and prohibited the flap from retracting. The right flap and flap actuator were not recovered. The elevator trim tab measured about 10° tab down (nose up).
The engine remained attached to the engine mount, and the propeller remained attached to the engine. Corrosion and ocean silt debris were noted on the engine. The engine fuel pump, fuel flow divider, fuel servo lines, and fuel servo contained evidence of fuel. The propeller was manually rotated; thumb compression was noted on all 6 cylinders, and mechanical continuity was noted throughout the engine. 
Postaccident examination of the airplane revealed no evidence of any preimpact mechanical malfunctions or failures that would have precluded normal operation.","pilot was drunk","0.4","","1"
"CEN22LA198","The private pilot of the personal flight stated that he was attempting a soft field takeoff from a grass/dirt runway when the right elevator struck the ground. The airplane veered to the right, and the pilot applied corrective aileron and rudder control inputs while he continued the takeoff. The pilot did not hear or feel the impact of the elevator with the ground and continued the takeoff. As the airplane approached the runway departure end, the pilot pulled back on the control yoke to get the airplane airborne. The pilot was unable to get the airplane airborne and it impacted and became partially submersed in a saltwater canal at the departure end of the runway. The airplane sustained substantial damage to the engine firewall, left wing, and right elevator. The pilot stated there was no mechanical malfunction/failure of the airplane.
","Mechanical failure to the elevator","0.6","","0"
