case_id,occurrence_code,probable_cause
WPR20CA113,551240,"The pilot's failure to maintain airplane control during landing in gusting crosswind conditions, which resulted in the wing striking the ground.


"
CEN23LA214,507192,A loss of engine power due to fuel exhaustion that resulted from the pilots’ inadequate preflight planning.
CEN21FA220,402470,"The pilot’s failure to maintain adequate visual lookout to ensure clearance from the radio tower and its guy wires. Contributing to the accident was the pilot’s unnecessary use of his mobile device during the flight, which diminished his attention/monitoring of the airplane’s flight path."
ERA22LA340,453333,"Inadequate maintenance of the helicopter’s tail rotor blades, which resulted in a failure of the tail rotor drive system, and an inflight loss of yaw control from which the flight instructor was unable to recover."
CEN20LA239,508342,"The loss of engine power for reasons that could not be determined based on the available information.
"
WPR23LA025,990240,The non-certificated pilot’s loss of control for undetermined reasons.
CEN24LA014,251330,"The failure of the right brake assembly due to excessive brake lining wear, which resulted in a thermally damaged piston O-ring, hydraulic fluid leak, and subsequent fire."
ERA23FA239,450341,"A loss of engine power for undetermined reasons, and the pilot’s subsequent loss of control, which resulted in impact with terrain."
CEN23FA201,452900,"The pilot’s operation of the airplane while intoxicated, resulting in its impact with the ocean."
CEN22LA198,300093,"The pilot’s failure to attain a proper soft field takeoff pitch attitude during takeoff that resulted in a runway excursion and subsequent impact with a canal.

"
ERA21LA275,601092,"The pilot's improper termination of a practice autorotation with power recovery, which resulted in low rotor rpm, an unstable landing, and a rollover. Contributing to the accident was the evaluator's inadequate oversight."
WPR23LA112,451338,"The student pilot’s loss of airplane control during an intentional aerobatic maneuver, which resulted in an inflight separation of the left wing and subsequent impact with the terrain."
CEN21LA048,500190,"The loss of engine power due to fuel starvation during a low approach over the airport, which resulted in a forced landing and impact with terrain.
"
ERA20CA117,152081,"The pilot being struck in the head by the propeller before flight, which resulted in a serious injury.
"
ANC20LA043,600241,"The pilot’s failure to ensure adequate fuel onboard prior to the planned flight, resulting in a total loss of engine power due to fuel exhaustion and an aerodynamic stall during the subsequent emergency landing.  Contributing to the accident was the pilot’s reliance on an improperly programmed fuel totalizer.
"
ERA22LA434,551094,"The failure of the nose landing gear to fully extend and lock into position for reasons that could not be determined, which resulted in its collapse during landing."
ERA20CA189,551380,"The pilot's failure to attain the proper touchdown point during landing with a tail wind, which resulted in a runway excursion."
CEN21LA416,551092,"The tensile overload failure of the main landing gear attachment bolt, which resulted in separation of the left main landing gear and a loss of control during landing."
WPR20LA121,402440,"The pilots precautionary off airport landing due to an undetermined engine issue.
"
WPR23LA017,508330,"The failure of maintenance personnel to properly secure the fuel supply line to the fuel flow divider, which resulted in a fuel leak, fuel exhaustion, and a total loss of engine power."
CEN21LA070,400330,"The impairment of both pilots from carbon monoxide exposure due to a degraded muffler. Contributing to the accident was the inadequate maintenance inspection, which failed to detect the degraded muffler.
"
WPR23FA351,450338,"A failure of the forward left wing spar due to an improper repair, which resulted in an inflight separation of the left wing. Contributing to the accident was improper maintenance by splicing the wing spar."
ERA23LA198,508490,The pilot’s failure to see and avoid powerlines while on approach to land.
ERA21LA360,508333,"The mechanic’s inadequate inspection of the flight control system, which resulted in a loss of airplane control."
ERA23FA078,350271,"The pilot’s improper yaw control during the takeoff initial climb, which resulted in an excessive sideslip and a subsequent loss of aircraft control."
ERA23LA197,501341,"The total loss of engine power due to the loosening and separation of the No. 1 connecting rod cap nuts in flight, resulting in catastrophic internal engine damage.  Contributing to the accident was the pilot/owner’s failure to comply with the engine manufacturer’s service instruction on engine overhaul intervals."
ERA22LA107,509240,"The pilot receiving instruction’s failure to maintain airspeed during a turn, which resulted in an exceedance of the airplane's critical angle of attack and a subsequent aerodynamic stall. Contributing to the accident was the flight instructor’s failure to take remedial action in a timely manner."
CEN21FA043,800250,"The pilot of the J35’s failure to maintain clearance from the M35, which resulted in a midair collision and the J35 pilot’s subsequent loss of control and impact with terrain.
"
ERA23FA340,451337,"The left seat instructor’s intentional maneuvering of the airplane in an aerobatic steep turn for which it was not approved, which resulted in an exceedance of the structural limitations of the airplane and an inflight breakup."
WPR24FA037,504192,A total loss of engine power due to fuel exhaustion. Contributing to the accident were the pilot’s inadequate flight and fuel planning and his decision to fly in night instrument meteorological conditions despite his lack of recent instrument flight.
