# MODEL'S OPINION, NOT GROUND TRUTH. abl_top1_correct/abl_top3_correct are transferred
# from Andy's hand labels only where the answer string didn't change; where it changed,
# they come from an LLM equivalence judge (Haiku) that saw no case evidence, only the two
# verdicts being compared (abl_*_source == 'judge'). See scripts/ablation_phase.py.
case_id,has_narrative,ntsb_occurrence,ntsb_label,orig_model_occurrence,abl_model_occurrence,answer_changed,orig_top1_correct,abl_top1_correct,abl_top1_source,orig_top3_correct,abl_top3_correct,abl_top3_source,orig_abstained,abl_abstained,judge_reason,abl_cost_usd
WPR24LA029,True,550000,Landing — Unknown or undetermined,Loss of altitude/ Hard landing,LOC-G (loss of control - other/emergency landing) - Hard Landing,True,True,False,judge,True,True,judge,False,False,"Top-1 misidentifies as LOC-G (loss of control) rather than landing, but top-3 includes ""Hard Landing"" which matches the NTSB's underlying landing occurrence.",0.030598
CEN23FA204,True,990337,Unknown — Aircraft structural failure,In-flight structural failure (wing separation),SCF-NP (System/Component Failure - Non-Powerplant),True,True,True,judge,True,True,judge,False,False,"Both refer to structural failure of an aircraft component; SCF-NP (System/Component Failure - Non-Powerplant) is a substantive match for ""Aircraft structural failure.""",0.050459
ERA23LA325,True,404192,Enroute-descent — Fuel exhaustion,Loss of engine power (total),Fuel exhaustion,True,True,True,judge,True,True,judge,False,False,"Candidate correctly identified fuel exhaustion as the primary occurrence, matching the NTSB's core verdict; the underlying cause (leaking fuel drain valve) is also aligned.",0.031363
WPR21LA308,False,401470,Enroute-climb to cruise — Collision with terr/obj (non-CFIT),175,UNKNOWN,True,False,False,judge,False,False,judge,False,True,"Candidate refused classification as ""UNKNOWN"" rather than identifying the terrain collision during enroute climb; no top-3 entry matches the NTSB's terrain-collision classification.",0.025698
ERA21FA189,True,404401,Enroute-descent — VFR encounter with IMC,LOC-I (Loss of Control - Inflight),LOC-I,True,True,False,judge,True,False,judge,False,False,Candidate identified LOC-I and CFIT (consequences of the accident sequence) whereas NTSB classified the primary occurrence as VFR encounter with IMC (the precipitating meteorological event).,0.042495
WPR22FA100,True,450337,Maneuvering — Aircraft structural failure,In-flight structural failure / loss of control,In-flight breakup,True,True,False,judge,True,False,judge,False,False,"NTSB's occurrence is ""Maneuvering — Aircraft structural failure"" (phase + failure mode); candidate identified only ""In-flight breakup"" (the end result), missing the maneuvering-phase categorization.",0.038081
CEN23LA301,False,150230,Standing — Loss of control on ground,LOC-G (Loss of control on ground),Loss of control on ground/hard landing,True,False,False,transferred,True,True,transferred,True,True,,0.027623
WPR22FA195,True,451220,Maneuvering-aerobatics — Low altitude operation/event,LOC-I,LOC-I,False,True,True,transferred,True,False,judge,False,False,Candidate's top occurrence (LOC-I) and all top-3 guesses do not match the NTSB's official occurrence category of Maneuvering-aerobatics—Low altitude operation/event.,0.030003
ENG21LA011,True,301343,Takeoff-rejected takeoff — Uncontained engine failure,Engine Failure (Uncontained),Powerplant failure - uncontained,True,True,True,judge,True,True,judge,False,False,"Candidate's top choice ""Powerplant failure - uncontained"" correctly paraphrases the core event type (uncontained engine failure); phase context in NTSB label does not alter the fundamental occurrence classification.",0.032746
ANC24LA010,False,551092,Landing-flare/touchdown — Hard landing,Loss of control on ground/landing,Unknown,True,True,True,transferred,True,True,transferred,True,True,,0.025776
WPR20CA299,False,600120,Emergency descent — Controlled flight into terr/obj (CFIT),UNK,Unknown,True,False,False,transferred,False,False,transferred,True,True,,0.024179
WPR20CA146,True,251900,Taxi-to runway — Miscellaneous/other,Collision with object (taxi),Collision with object (taxi),False,True,True,transferred,True,False,judge,False,False,"Candidate's collision classifications do not match the NTSB's ""Taxi-to runway — Miscellaneous/other"" category, despite correctly understanding the incident substantively.",0.0226479999999999
WPR21LA342,False,100194,Prior to flight — Wrong fuel,PROP STRIKE,Unknown,True,False,False,transferred,False,False,transferred,True,True,,0.027399
WPR22FA298,True,450401,Maneuvering — VFR encounter with IMC,LOC-I,LOC-I,False,False,False,transferred,False,False,judge,False,False,"Candidate identified LOC-I as top occurrence, but NTSB classified this as Maneuvering—VFR encounter with IMC, a different occurrence category.",0.046416
ERA20LA234,True,550850,Landing — Medical event,"Landing - hard/bounced landing, loss of control",Abnormal runway/landing contact - Loss of control on landing,True,True,False,judge,True,False,judge,False,False,"Candidate identified landing control issues, but NTSB's occurrence is a medical event (acute stroke); candidate's probable cause contradicts NTSB by rejecting the medical incapacitation as unproven.",0.035181
CEN23LA052,False,401240,Enroute-climb to cruise — Loss of control in flight,UNK,UNK,False,False,False,transferred,False,False,transferred,True,True,,0.023701
WPR20LA306,True,251094,Taxi-to runway — Landing gear collapse,Landing gear collapse,Gear collapse,True,True,True,judge,True,True,judge,False,False,"Candidate's ""Gear collapse"" matches the NTSB's ""Landing gear collapse"" occurrence, and both verdicts identify fatigue as the underlying cause.",0.028367
DCA24FA017,True,552320,Landing-landing roll — Runway incursion veh/AC/person,GCOL,Collision on runway (ground collision between two aircraft),True,False,False,judge,False,True,judge,False,True,"Candidate's top occurrence ""collision on runway"" misses the runway incursion aspect; however, the second option in the top-3 list correctly names ""Runway incursion,"" matching the core occurrence type in the NTSB's official category.",0.043646
CEN21LA471,False,508390,Approach-VFR pattern final — Windshear or thunderstorm,Unknown,UNKNOWN,False,False,False,transferred,False,False,transferred,True,True,,0.026767
CEN21LA132,True,402900,Enroute-cruise — Miscellaneous/other,Aircraft structural failure,Windshield/Structural Failure,True,False,False,judge,True,True,judge,False,False,Top 1 is too specific (windshield failure vs. miscellaneous/other); but top-3 guess #2 (Miscellaneous/Other structural failure) correctly identifies the NTSB's miscellaneous/other category.,0.024506
ANC20LA059,True,350337,Initial climb — Aircraft structural failure,Structural Failure,Airframe/component failure - fatigue (in-flight structural failure),True,True,True,judge,True,True,judge,False,False,Both the top occurrence and NTSB label identify the same underlying cause: fatigue-induced structural failure of the rudder post during flight.,0.0366219999999999
WPR22LA364,False,450500,Maneuvering — Loss of lift,LOC-I,Unknown,True,False,False,transferred,False,False,transferred,True,True,,0.0299862
CEN24FA046,True,150210,Standing — Structural icing,LOC-I,LOC-I,False,True,True,transferred,True,False,judge,False,False,"Candidate guessed loss-of-control variants; NTSB classified the occurrence as ""Structural icing,"" a different taxonomy category representing the underlying hazard rather than the outcome.",0.037603
