case_id,ntsb_occurrence,ntsb_finding_codes,ntsb_probable_cause,model_occurrence,model_top3,model_finding_codes,model_probable_cause,model_confidence,model_abstained,occurrence_correct,top3_correct,category,tool_that_would_fix_it,model_cost_usd
WPR24LA029,550000,['0106203721' '0206300044' '0105710000'],A hard landing after both burner pilot lights extinguished during the landing approach for undetermined reasons. Contributing to the accident was the pilot's inability to relight the burner pilot lights.,LOC-G (loss of control - other/emergency landing) - Hard Landing,Hard Landing|Loss of Engine/Burner Power (Total)|Miscellaneous/Other,Aircraft-Powerplant/Burner-Ignition system-Failure (undetermined)|Personnel issue-Emergency procedure-Not followed-Pilot (delayed decision to land per manual)|Environmental issue-Wind-Shift|Aircraft-Not damaged|Occupant-Passenger-Fall from vehicle post-impact,"The failure of both burner ignition systems during flight (for reasons that could not be duplicated during postaccident testing) which resulted in an unplanned, uncontrolled descent and hard landing on a parked vehicle, causing a passenger to be ejected from the basket and sustain serious injuries.",0.55,False,,,,,0.030598
CEN23FA204,990337,['0103570008' '0500000000'],An in-flight breakup due to structural overload of the airplane for undetermined reasons.,SCF-NP (System/Component Failure - Non-Powerplant),SCF-NP (System/Component Failure - Non-Powerplant)|LOC-I (Loss of Control - Inflight)|OTHR (Other),Aircraft-Wing structure-Failure|Aircraft-Design/manufacture-Inadequate design (structural)|Personnel issues-Experience/knowledge-Builder lacked engineering qualification|Aircraft-Not-standard/certified-Homebuilt without structural engineering analysis|Miscellaneous-Airworthiness certification-Design margins/limits unknown,"An in-flight structural failure and separation of both wings, resulting in loss of control and subsequent impact with terrain. The airplane was a homebuilt (Luce Buttercup) whose plans were reverse-engineered from an original Wittman Buttercup design without any structural engineering analysis to establish design loads, structural margins, or a safe flight envelope; the builder/plans author explicitly disclaimed engineering expertise. The accident airplane had also been modified from its certificated configuration with a significantly more powerful and heavier engine (Lycoming O-290-D2, 135 hp) than originally specified (Continental O-200-A, 100 hp), likely altering the structural loading and flight characteristics beyond whatever undocumented margins existed in the original design. Witness observations of the left wing separating first, followed by the right wing, during a level-off from a banking turn are consistent with an aerodynamic/structural overload failure of a wing structure of unknown and unverified strength. Missing logbooks precluded determination of the airframe's inspection and maintenance history, and pilot toxicology showed a sedating muscle relaxant (cyclobenzaprine) and other substances, though their role in the loss of control (versus resulting from it) could not be determined. The probable cause is the in-flight failure of the wing structure due to inadequate/unverified structural design of the experimental amateur-built airplane, compounded by an engine modification that increased weight and power beyond the original design basis.",0.55,False,,,,,0.050459000000000004
ERA23LA325,404192,['0107101024' '0102282101'],A loss of engine power due to fuel exhaustion because of a leaking fuel drain valve.,Fuel exhaustion,Fuel exhaustion|Loss of engine power (total)|Forced landing/nose-over,Fuel system - fluid leak - fuel drain valve|Fuel supply - inadequate - not identified/corrected by pilot|Pilot - inadequate visual inspection/monitoring of fuel consumption|Terrain condition - rough/uneven (ditch) - contributed to nose-over,"The total loss of engine power due to fuel exhaustion, which resulted from an in-flight fuel leak through a degraded/leaking fuel drain valve O-ring seal that went undetected by the pilot despite an earlier indication of abnormal fuel consumption. Contributing to the accident was the pilot's failure to adequately diagnose the anomalous fuel consumption noted at an earlier fuel stop, and the subsequent forced landing terrain (rough shoulder/ditch) that caused the airplane to overturn.",0.75,False,,,,,0.031363
WPR21LA308,401470,['0204152044' '0106201220' '0303403582'],"The pilot’s failure to maintain clearance from mountainous terrain prior to encountering a downdraft, which resulted in a forced landing and collision with terrain. 
",UNKNOWN,Unknown|Unknown|Unknown,,"The evidence provided is insufficient to determine a probable cause. It includes only aircraft/pilot metadata (Cessna 172, highly experienced CFI/ATP pilot with 1200 total hours/400 in type), a weather METAR showing reduced visibility (3SM) with smoke (FU) and an overcast ceiling at 3200 ft, and a 'no injury' outcome. There is no information on the accident sequence itself: no narrative, no phase of flight, no mention of what malfunctioned or what maneuver/event occurred (e.g., landing, takeoff, engine failure, loss of control, gear issue, etc.), and no NTSB findings data. Without any indication of the actual event type, assigning an occurrence code or specific finding codes would be pure speculation rather than evidence-based determination.",0.05,True,,,,,0.025698000000000002
ERA21FA189,404401,"['0203101046' '0204152046' '0206304046' '0303502584' '0303602084'
 '0303503584' '0202102546']","The student pilot’s continued visual flight rules flight into night instrument meteorological conditions, which resulted in spatial disorientation and a rapid uncontrolled descent into terrain. Contributing to the accident were the self-induced and external pressures that likely influenced the pilot’s decision to both initiate and continue the flight. 
",LOC-I,LOC-I|CFIT|UNK,"Weather condition - IMC encountered|Pilot - continued VFR flight into IMC|Pilot - spatial disorientation|Personnel issues - self-induced pressure / external pressure|Personnel issues - use of personal computer/pilot decision making|Pilot qualification - student pilot, not instrument rated|Aircraft - descent below safe altitude in IMC/night","The non-instrument-rated student pilot's decision to continue a VFR flight at night into deteriorating weather conditions, including areas of moderate precipitation and IFR ceilings along the route, which resulted in an encounter with instrument meteorological conditions, spatial disorientation, and a subsequent loss of control in flight. Contributing to the accident were self-imposed external pressures (family urgency to reach the destination, hospitalized father, timing of a relative's vacation) that led the pilot to depart late in the day and press on toward the destination despite worsening weather, declining an offer from his flight instructor to accompany him.",0.72,False,,,,,0.042495000000000005
WPR22FA100,450337,['0106201008' '0106201008' '0206304044'],"The pilot’s improper aerobatic maneuver leading to an airspeed that exceeded the airplane’s design limits, which resulted in rudder flutter and an in-flight breakup.",In-flight breakup,In-flight breakup|Loss of control in flight|Aerodynamic flutter/vibration,Pilot performed unauthorized/prohibited maneuver - aerobatic flight|Aircraft exceeded maximum aerobatic weight limitation|Airspeed - exceeded VNE/never-exceed speed|Aeroelastic flutter - rudder/empennage|Personnel issue - lack of acrobatic training/currency|In-flight planning/decision - improper decision to perform aerobatics,"The pilot's decision to perform aerobatic maneuvers (aileron roll and split-S) in an airplane that exceeded its maximum weight limitation for aerobatic flight, and without aerobatic training, which resulted in excessive airspeed during the maneuver that exceeded the airplane's design limitations and induced in-flight flutter of the empennage, leading to structural failure and in-flight breakup.",0.82,False,,,,,0.038081000000000004
CEN23LA301,150230,['0206304046'],The student pilot’s failure to maintain helicopter control while on the ground when his attention was diverted for post flight activities.,Loss of control on ground/hard landing,Loss of control on ground/hard landing|Hard landing|Rollover,Pilot - inadequate/lack of experience|Pilot - improper flight control inputs,"The evidence provided is too sparse to determine a specific probable cause with confidence. Known facts are limited to aircraft type (Schweizer 269C-1 helicopter), a student pilot with only 36 total flight hours, VMC conditions, and a minor injury outcome — with no narrative, damage description, or phase-of-flight detail. Given the aircraft type and very low-time student pilot, a plausible general pattern is loss of helicopter control during a low-speed phase (e.g., hover, takeoff, or landing) resulting in a hard landing or dynamic rollover, consistent with common student-pilot helicopter training accidents, but this is an inference from base rates rather than case-specific evidence.",0.25,True,,,,,0.027623
WPR22FA195,451220,['0206304044' '0106201220'],"The pilot’s failure to maintain altitude during an aerobatic maneuver, which resulted in an impact with terrain.",LOC-I,LOC-I|ARC|SCF-PP,Aircraft-Aerodynamic stall/spin-Inadvertent stall|Personnel issues-Task performance-Aircraft control-Pilot|Environmental issues-Low altitude operation|Personnel issues-Performance-Intentional low-altitude aerobatic maneuvering,"The pilot's exceedance of the airplane's critical angle of attack while maneuvering during a self-initiated aerobatic flight, which resulted in an aerodynamic stall at low altitude and a subsequent loss of control from which he did not recover before ground impact.",0.72,False,,,,,0.030003000000000002
ENG21LA011,301343,['0105723001' '0401302066' '0105723015' '0401301066'],An uncontained left engine failure caused by a low cycle fatigue crack that originated from a manufacturing machining groove on the high pressure compressor impeller aft face. Contributing to the incident was service bulletin borescope inspection criteria that was insufficient to detect the presence of machining grooves on the high pressure compressor impeller at the time the incident engine was inspected in May 2004.,Powerplant failure - uncontained,Powerplant failure - uncontained|Fatigue/wear/corrosion failure|Aborted takeoff,Aircraft-Powerplant assembly-Compressor-Fatigue failure|Aircraft-Powerplant assembly-Compressor-Impeller-Fatigue crack|Manufacturer-Design/manufacturing process-Machining groove stress riser,"A low-cycle fatigue crack that initiated at a circumferential machining groove on the aft face of the No. 1 engine's high-pressure compressor (HPC) impeller, which propagated over an estimated ~6,380 cycles and resulted in an uncontained failure of the impeller during the takeoff roll. Contributing was the manufacturing/design feature of the machining groove that served as a fatigue crack initiation site, and the inspection interval/technique that did not detect the crack prior to failure.",0.82,False,,,,,0.032746
ANC24LA010,551092,['0206304044' '0303404091' '0106204020'],"The first pilot’s failure to maintain a stabilized approach, in gusty crosswind conditions, in an environment favoring wake turbulence.",Unknown,Unknown|Unknown|Unknown,,"The evidence provided is insufficient to determine a probable cause. The record contains only basic aircraft/pilot metadata (Cessna 172, highly experienced pilot with Private/Commercial/CFI certificates and 1022 total hours, 885 in type) and a routine VMC METAR (clear skies, light-to-moderate wind, good visibility) with no reported injuries. There is no narrative, sequence of events, findings, defect, maneuver, or phase-of-flight information indicating what occurrence actually took place (e.g., no mention of a runway excursion, hard landing, gear collapse, loss of control, engine failure, etc.). Without a description of what happened during the flight, it is not possible to responsibly assign an occurrence code or probable cause; doing so would amount to guessing rather than analysis.",0.05,True,,,,,0.025776
